Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2016,219709,00347900,Belmont University,TN,3,,1,NCAA,2163,3762,5925,2,Basketball,14,23,,,14,23,16966,237529,8147,187387,424916,,,,,,2688559,1647069,4335628,,,,2688559,1647069,4335628,2688559,1647069,4335628,,,,2688559,1647069,4335628
2016,217721,00342000,Benedict College,SC,4,,1,NCAA,1164,1085,2249,2,Basketball,17,15,,,17,15,1215,20658,447,6700,27358,,,,,,528030,352034,880064,,,,528030,352034,880064,528030,352034,880064,,,,528030,352034,880064
2016,156295,00195500,Berea College,KY,7,,1,NCAA,698,912,1610,2,Basketball,14,11,,,14,11,3052,42732,4629,50915,93647,,,,,,153909,106977,260886,,,,153909,106977,260886,153909,106977,260886,,,,153909,106977,260886
2016,139144,00155400,Berry College,GA,6,,1,NCAA,812,1234,2046,2,Basketball,19,18,,,19,18,3132,59517,3689,66399,125916,,,,,,208919,228357,437276,,,,208919,228357,437276,197365,224752,422117,,,,197365,224752,422117
2016,219718,00348000,Bethel University,TN,9,,2,NAIA,1525,1949,3474,2,Basketball,37,25,,,37,25,3295,121907,3898,97458,219365,,,,,,566726,431139,997865,,,,566726,431139,997865,566726,431139,997865,,,,566726,431139,997865
2016,132602,00146700,Bethune-Cookman University,FL,2,,1,NCAA,1425,2158,3583,2,Basketball,15,14,,,15,14,23925,358881,53549,749683,1108564,,,,,,1080842,1133549,2214391,,,,1080842,1133549,2214391,1080842,1133549,2214391,,,,1080842,1133549,2214391
2016,100937,00101200,Birmingham Southern College,AL,6,,1,NCAA,630,652,1282,2,Basketball,27,18,,,27,18,3747,101156,4628,83302,184458,,,,,,223759,180773,404532,,,,223759,180773,404532,223759,180773,404532,,,,223759,180773,404532
2016,102030,00103000,Bishop State Community College,AL,12,,3,NJCAA,682,875,1557,2,Basketball,20,19,,,20,19,1711,34220,1963,37295,71515,,,,,,231786,160550,392336,,,,231786,160550,392336,231786,160550,392336,,,,231786,160550,392336
2016,223427,00354900,Blinn College,TX,12,,3,NJCAA,4873,4501,9374,2,Basketball,20,19,,,20,19,3147,62934,3038,57715,120649,,,,,,296439,316920,613359,,,,296439,316920,613359,296188,316413,612601,,,,296188,316413,612601
2016,175430,00239800,Blue Mountain College,MS,9,,2,NAIA,231,264,495,2,Basketball,16,12,,,16,12,5801,92811,6181,74174,166985,,,,,,365831,346970,712801,,,,365831,346970,712801,365831,346970,712801,,,,365831,346970,712801
